Taxa	Mg	Ca	Mn	Fe	Cu	Zn	TKW	PH
PI_428164_TR17ID_A13_1	47.72851176	18.81037955	3.0811945	2.424222401	0.168602827	0.984909721	-0.384696101	-6.349658902
PI_323437_TR09ID_A94_2	-5.254368065	-3.050035394	-7.067181393	-0.796882333	0.023251386	-1.454829567	-1.230448651	0.370398598
PI_428174_TR17ID_A20_2	-11.64396157	32.89181778	2.776940105	1.843323301	-0.04121143	-3.386464739	-2.57173593	-1.260238581
Cltr_14520_TR17ID_A43_1	2.370666362	0.920629291	0.487278482	-0.053174273	-0.006931099	-0.734486474	1.052578837	3.474590979
GKN_000258_17_2	26.9366014	7.900269777	2.887768023	1.624162962	-0.25325203	2.413687358	-0.10860939	1.576487499
GKN_000249_77_1	37.63981624	-31.39775773	-1.947571733	-0.047062314	0.238664343	3.105320031	0.484165019	0.262415859
TR_68843_E31_1	2.532806151	-1.733307118	-1.27065029	-0.486173943	0.045032959	0.978509211	-0.059888205	-1.260238581
PI_191381_TR17ID_A68_1	17.0254653	-15.06737718	0.535263	-0.465464912	0.345927853	5.01992102	2.836315529	0.220699299
TR_61237_E7_1	20.95337751	13.94206257	2.876677602	1.098055655	0.076550967	1.619253195	1.461295438	-1.322813421
TR_68813_E18_2	-12.12337183	-19.36016713	-1.934124801	-1.888183187	-0.14649777	-6.525666103	0.914535481	-1.635687621
PI_290509_TR17ID_A83_1	6.702142798	-6.17839857	3.949250805	-0.365534818	-0.083020382	0.266930538	0.051087826	-1.552254501
GKN_025887_121_1	4.898589705	-7.621806136	-0.202641612	-0.530332781	-0.002020458	2.444819772	1.810463926	3.99604798
PI_167591_TR17ID_A10_1	4.456989659	8.61457384	-1.841077565	0.345393759	0.064896477	-2.965991684	-0.135676714	0.867305979
GKN_000250_34_1	-38.06115694	-2.258469334	-2.05514275	-2.199124514	0.049250127	-4.473902546	0.887468156	-1.698262461
PI_167611_TR05ID_A16_1	-33.47025966	-34.68522969	-4.696607312	-3.946178311	-0.446019804	-1.932721103	2.894059155	1.159321899
GKN_000273_30_1	-38.86146444	-44.38066061	-4.696258036	-2.660276221	-0.336464535	-8.131044402	1.266410701	0.637864899
PI_94743_TR04ID_A50_1	21.40752749	-25.46972965	-1.727566106	-1.828493247	0.197451645	3.19866645	4.16351668	1.493054379
TR_68869_E45_1	-45.20562221	-21.1645759	-6.701679994	-1.752008167	-0.218131667	-3.4002789	1.813170658	0.220699299
TR_68832_E27_2	-26.11679583	2.137684019	4.007760145	-0.88857723	0.170546601	-1.928997415	-0.601234698	-0.008741781
TR_68781_E12_1	-41.34098852	-12.41159799	-6.815726398	-2.387078485	0.190239654	-0.649025135	0.941602806	0.408423819
TR_61226_E2_2	-3.638919183	-1.749446089	2.020584827	-1.473062799	0.090372848	2.015786793	0.314543119	-1.155947181
PI_167591_TR17ID_A10_2	-57.61635392	-35.08032178	-5.140505067	-2.537594137	-0.246009885	-6.56624623	5.196586236	1.263613299
GKN_000242_3_2	-10.09108588	-27.49948218	-0.397209982	-3.080902418	-0.3203024	1.722335953	-0.327854719	0.408423819
TUR_02547_117_1	-14.67248577	-1.509173974	-0.862591699	1.440440494	0.047912148	-0.140164624	0.6492757	-0.425907381
TUR_02414_114_1	-31.86556525	-18.73676261	-1.996228685	-1.837910427	0.005045871	-9.335335096	0.96867013	0.700439739
PI_190939_TR04ID_A57_1	10.19133616	34.25787462	3.735926892	1.599678458	0.142693043	4.91093153	1.13378081	1.847645139
PI_290511_TR17ID_A84_1	31.94157471	28.8390878	4.022196733	0.952634019	0.089766361	4.654589298	1.217689517	2.702834619
PI_518452_TR00ID_A64_1	-8.360182046	-19.37057773	-3.083903142	-2.105309301	0.102742491	-2.911442966	2.998719477	-0.509340501
GKN_000268_26_1	-27.77635852	10.79762116	-0.680626963	-1.396597581	-0.003597794	-1.00161457	1.323252083	1.263613299
PI_435001_TR07ID_A119_1	1.413164044	8.522314156	-0.561344833	-0.731467488	0.013881559	-2.027844095	-0.317919516	-1.104619476
PI_428168_TR17ID_A4_1	-11.46657125	-4.139690314	-2.529630418	-1.179949549	-0.066162931	-3.712660709	-0.276426802	-1.385388261
GKN_025880_118_2	19.29833767	-31.49634441	4.10756335	-0.8439563	0.011725528	3.648563937	1.214982784	1.117605339
TR_61232_E4_2	-10.91136512	0.292818908	-0.640876587	-2.503760699	-0.193631177	-6.33754547	2.998719477	-0.989080941
PI_355520_TR11ID_A46_1	3.171050554	7.160946219	-3.616287157	-2.950119436	-0.282663683	-6.821862371	3.269392723	0.450140379
GKN_000270_78_2	-49.53399221	-31.10346164	-2.183759514	-3.315155331	-0.286093974	-9.447145471	3.215258074	1.993653099
TUR_02335_110_1	27.09569025	-1.15556458	5.363885724	0.351526331	-0.033507823	4.73851355	1.566858004	-0.071316621
PI_428165_TR17ID_A19_1	-37.20803426	-26.47222728	-6.808495585	-2.466253113	-0.200387442	-5.72574553	-0.271013337	-1.760837301
PI_119422_TR05ID_A1_1	16.37247234	-3.448684984	1.064535172	0.847393695	0.056726135	1.784621595	1.055285569	-0.717923301
TUR_02446_116_1	22.30271108	-26.5174194	-0.0152032	0.396531101	-0.004861014	-1.481172948	1.702194627	-0.676206741
GKN_000240_1_2	-10.78039429	-12.39888197	2.207407397	-0.250875388	-0.185578243	-1.096283524	3.031200266	-0.300757701
GKN_000244_5_2	1.964796964	-19.05760923	3.606289679	-0.460090015	-0.261150605	8.94046759	2.24354112	0.137266179
GKN_000262_20_2	10.17979954	-2.664124838	2.548975184	-0.1296076	-0.131822577	-1.567475169	-1.624379568	-1.301955141
PI_418582_TR04ID_A98_2	-13.26836879	-9.884332495	-4.140573468	-1.388571724	0.049874508	-3.410009274	2.081137172	2.118802779
TR_32141_E1_1	-32.98306303	-40.88160777	-0.666423554	-2.49460005	-0.308604553	-8.29496151	3.254054572	-5.056445542
PI_418587_TR10ID_A51_1	16.06229644	-22.15778761	5.49212149	0.964791649	0.059981168	10.82747001	1.943996061	1.847645139
PI_191383_TR17ID_A69_1	16.53475829	-41.43023465	5.357165052	0.356076162	-0.174590865	2.24490826	-0.676120963	-1.593971061
